#Deutsch	Furigana	Romaji	Type	Baseform	Romaji  
/Possessiv-Suffix/, von /Genitiv-Partikel/; /informeller Frage-Partikel, am Satzende/	の	no	Vokabel-Part		
mein	私[わたし]の	watashi no	Vokabel-Pron		
rot	赤[あか]い	akai	Vokabel-Adj-i		
Mantel	コート	kooto	Vokabel-Katakana		
weiß	白[しろ]い	shiroi	Vokabel-Adj-i		
Schuh(e)	靴[くつ]	kutsu	Vokabel-Nomen		
diese (hier)	これら	korera	Vokabel-Pron		
jene (dort)	それら	sorera	Vokabel-Pron		
hell; heiter, fröhlich	明[あか]るい	akarui	Vokabel-Adj-i		
diese(r,s) … hier /vor Nomen/	この	kono	Vokabel-Pron		
jene(r,s) … dort /vor Nomen/	その	sono	Vokabel-Pron		
süß, niedlich, liebenswert, entzückend	かわいい	kawaii	Vokabel-Adj-i		
lustig, komisch; interessant, faszinierend	面[おも]白[しろ]い	omoshiroi	Vokabel-Adj-i		
Tanaka /Fam.-Name/	田[た]中[なか]	Tanaka	Vokabel-Name		
Nakayama /Fam.-Name/	中[なか]山[やま]	Nakayama	Vokabel-Name		
Yamaguchi /Fam.-Name/	山[やま]口[ぐち]	Yamaguchi	Vokabel-Name		
Ist das mein Schirm?	それ は 私[わたし]の 傘[かさ] です か。	Sore wa watashi no kasa desu ka.	Beispielsatz		
Mein Schirm ist rot.	私[わたし]の 傘[かさ] は 赤[あか]い です。	Watashi no kasa wa akai desu.	Beispielsatz		
Dies ist mein Schirm.	これ は 私[わたし]の 傘[かさ] です。	Kore wa watashi no kasa desu.	Beispielsatz		
Mein Mantel ist hier.	私[わたし]の コート は ここ です。	Watashi no kooto wa koko desu.	Beispielsatz		
Dies ist mein Hut.	これ は 私[わたし]の 帽子[ぼうし] です。	Kore wa watashi no boushi desu.	Beispielsatz		
Wo ist mein Schuh?; Wo sind meine Schuhe?	私[わたし]の 靴[くつ] は どこ です か。	Watashi no kutsu wa doko desu ka.	Beispielsatz		
Diese sind meine Mäntel.	これら は 私[わたし]の コート です。	Korera wa watashi no kooto desu.	Beispielsatz		
Wo ist es?	どこ です か。	Doko desu ka.	Beispielsatz		
Herr Tanaka ist nett.	田[た]中[なか] さん は 優[やさ]しい です。	Tanaka-san wa yasashii desu.	Beispielsatz		
Wo ist Herr Tanaka?	田[た]中[なか] さん は どこ です か。	Tanaka-san wa doko desu ka.	Beispielsatz		
Frau Nakayama ist cool.	中[なか]山[やま] さん は かっこいい です。	Nakayama-san wa kakkoii desu.	Beispielsatz		
Diese Person ist nett.	この 人[ひと] は 優[やさ]しい です。	Kono hito wa yasashii desu.	Beispielsatz		
Frau Nakayama ist eine fröhliche Person.	中[なか]山[やま] さん は 明[あか]るい 人[ひと] です。	Nakayama-san wa akarui hito desu.	Beispielsatz		
Jene Person ist nett.	その 人[ひと] は 優[やさ]しい です。	Sono hito wa yasashii desu.	Beispielsatz		
Naomi ist süß.	直美[なおみ] さん は かわいい です。	Naomi-san wa kawaii desu.	Beispielsatz		
Ken ist lustig.	けん さん は 面[おも]白[しろ]い です。	Ken-san wa omoshiroi desu.	Beispielsatz		
Ist Hana Nakayama nett?	中[なか]山[やま] 花[はな] さん は 優[やさ]しい です か。	Nakayama Hana-san wa yasashii desu ka.	Beispielsatz		
Naomi Yamaguchi ist nett.	山[やま]口[ぐち] 直美[なおみ] さん は 優[やさ]しい です。	Yamaguchi Naomi-san wa yasashii desu.	Beispielsatz		
Sie ist Hana Nakayama.	中[なか]山[やま] 花[はな] さん です。	Nakayama Hana‑san desu.	Beispielsatz		
Ist Hana eine lustige Person?	花[はな] さん は 面[おも]白[しろ]い 人[ひと] です か。	Hana-san wa omoshiroi hito desu ka.	Beispielsatz		
eins	一[いち]	ichi	Vokabel-Num		
zwei	二[に]	ni	Vokabel-Num		
… Uhr	時[じ]	ji	Vokabel-Sonst		
drei	三[さん]	san	Vokabel-Num		
jetzt	今[いま]	ima	Vokabel-Adverb		
welche Zeit, welche Stunde, wie viel Uhr, wie spät, wann	何[なん]時[じ]	nanji	Vokabel-Sonst		
halb; 30 Minuten	半[はん]	han	Vokabel-Sonst		
Entschuldigung; Verzeihung!	すみません	sumimasen	Vokabel-Expr		
gegen, etwa um /Zeit, Suffix/	ごろ	goro	Vokabel-Suffix		
Flughafen	空[くう]港[こう]	kuukou	Vokabel-Nomen		
U-Bahn	地[ち]下[か]鉄[てつ]	chikatetsu	Vokabel-Nomen		
nicht sein; ist nicht; bin nicht; bist nicht /Kopula, verneint, Umgangsspr./	じゃないです	janai desu	Vokabel-Kopula	だ	da
Fahrkarte, Ticket	切[きっ]符[ぷ]	kippu	Vokabel-Nomen		
Landkarte	地[ち]図[ず]	chizu	Vokabel-Nomen		
Reisepass	パスポート	pasupooto	Vokabel-Katakana		
Smartphone	スマホ	sumaho	Vokabel-Katakana		
Tasche	鞄[かばん]	kaban	Vokabel-Nomen		
Es ist 1 Uhr.	一[いち] 時[じ] です。	ichi ji desu.	Beispielsatz		
Ist es 2 Uhr?	二[に]時[じ] です か。	ni ji desu ka.	Beispielsatz		
Wie spät ist es?	何[なん]時[じ] です か。	Nanji desu ka.	Beispielsatz		
Ist es jetzt 2 Uhr 30?	今[いま] 二[に]時[じ] 半[はん] です か。	Ima ni ji han desu ka.	Beispielsatz		
Verzeihung, wie spät ist es jetzt?	すみません、 今[いま] 何[なん]時[じ] です か。	Sumimasen, ima nanji desu ka.	Beispielsatz		
Es ist ungefähr 1 Uhr.	一[いち] 時[じ] ごろ です。	Ichi ji goro desu.	Beispielsatz		
Es ist jetzt ungefähr 3 Uhr.	今[いま] 三[さん]時[じ] ごろ です。	Ima san ji goro desu.	Beispielsatz		
Die U-Bahn ist hier.	地[ち]下[か]鉄[てつ] は ここ です。	Chikatetsu wa koko desu.	Beispielsatz		
Wo ist der Flughafen?	空[くう]港[こう] は どこ です か。	Kuukou wa doko desu ka.	Beispielsatz		
Es ist nicht die U-Bahn.	地[ち]下[か]鉄[てつ] じゃないです。	Chikatetsu janai desu.	Beispielsatz		
Der Bahnhof ist nicht dort.	駅[えき] は そこ じゃないです。	Eki wa soko janai desu.	Beispielsatz		
Verzeihung, wo ist die U-Bahn?	すみません、 地[ち]下[か]鉄[てつ] は どこ です か。	Sumimasen, chikatetsu wa doko desu ka.	Beispielsatz		
Die U-Bahn ist dort.	地[ち]下[か]鉄[てつ] は そこ です。	Chikatetsu wa soko desu.	Beispielsatz		
Die Bushaltestelle ist nicht hier.	バス 停[てい] は ここ じゃないです。	Basutei wa koko janai desu.	Beispielsatz		
Dies ist meine Fahrkarte.	これ は 私[わたし]の 切[きっ]符[ぷ] です。	Kore wa watashi no kippu desu.	Beispielsatz		
Wo ist die Landkarte?	地[ち]図[ず] は どこ です か。	Chizu wa doko desu ka.	Beispielsatz		
Es ist nicht mein Schirm.	私[わたし]の 傘[かさ] じゃないです。	Watashi no kasa janai desu.	Beispielsatz		
Wo ist meine Landkarte?	私[わたし]の 地[ち]図[ず] は どこ です か。	Watashi no chizu wa doko desu ka.	Beispielsatz		
Das ist nicht meine Fahrkarte.	それ は 私[わたし]の 切[きっ]符[ぷ] じゃないです。	Sore wa watashi no kippu janai desu.	Beispielsatz		
Mein Ticket ist hier.	私[わたし]の 切[きっ]符[ぷ] は ここ です。	Watashi no kippu wa koko desu.	Beispielsatz		
Wo ist mein Reisepass?	私[わたし]の パスポート は どこ です か。	Watashi no pasupooto wa doko desu ka.	Beispielsatz		
Es ist nicht Hanas Hut.	花[はな] さん の 帽子[ぼうし] じゃないです。	Hana-san no boushi janai desu.	Beispielsatz		
Ist es Kens Fahrkarte?	けん さん の 切[きっ]符[ぷ] です か。	Ken‑san no kippu desu ka.	Beispielsatz		
Dies ist nicht Kens Reisepass.	これ は けん さん の パスポート じゃないです。	Kore wa Ken-san no pasupooto janai desu.	Beispielsatz		
Das ist mein Handy.	それ は 私[わたし]の スマホ です。	Sore wa watashi no sumaho desu.	Beispielsatz		
Ist es Herrn Tanakas Tasche?	田[た]中[なか] さん の 鞄[かばん] です か。	Tanaka-san no kaban desu ka.	Beispielsatz		
Es ist nicht Herrn Nakayamas Reisepass.	中[なか]山[やま] さん の パスポート じゃないです。	Nakayama-san no pasupooto janai desu.	Beispielsatz		
Dies ist nicht meine Tasche.	これ は 私[わたし]の 鞄[かばん] じゃないです。	Kore wa watashi no kaban janai desu.	Beispielsatz		
Das ist Frau Yamaguchis Fahrkarte.	それ は 山[やま]口[ぐち] さん の 切[きっ]符[ぷ] です。	Sore wa Yamaguchi-san no kippu desu.	Beispielsatz		
Kyoto	京[きょう]都[と]	Kyouto	Vokabel-Nomen		
Tokio	東[とう]京[きょう]	Toukyou	Vokabel-Nomen		
Willkommen	ようこそ	youkoso	Vokabel-Interj		
Herkunft, Abstammung; aus/von … (sein)	出[しゅっ]身[しん]	shusshin	Vokabel-Nomen		
auch, ebenso; sowohl, als auch; nicht nur, sondern auch	も	mo	Vokabel-Part		
New York	ニューヨーク	Nyuuyooku	Vokabel-Katakana		
in, an, um, auf, nach, zu, über, durch, von  /Dativ-Partikel, Ziel, Zeit/	に	ni	Vokabel-Part		
leben, wohnen /te-Form, höflich/	住[す]んで います	sundeimasu	Vokabel-Verb-5st	住[す]む	sumu
Osaka	大[おお]阪[さか]	Oosaka	Vokabel-Nomen		
(Groß-) Stadt	都[と]市[し]	toshi	Vokabel-Nomen		
wie, was, auf welche Weise	どう	dou	Vokabel-Adverb		
Toronto (kanad. Stadt)	トロント	Toronto	Vokabel-Katakana		
lebhaft, geschäftig	賑[にぎ]やか	nigiyaka	Vokabel-Adj-na		
ruhig, friedlich	静[しず]か	shizuka	Vokabel-Adj-na		
hübsch, wunderschön; sauber	綺[き]麗[れい]	kirei	Vokabel-Adj-na		
sehr	とても	totemo	Vokabel-Adverb		
Stadt	町[まち]	machi	Vokabel-Nomen		
(mein) Vater	父[ちち]	chichi	Vokabel-Nomen		
sechs	六[ろく]	roku	Vokabel-Num		
(meine) Mutter	母[はは]	haha	Vokabel-Nomen		
sehen, schauen /höflich/	見[み]ます	mimasu	Vokabel-Verb-1st	見[み]る	miru
Familie	家[か]族[ぞく]	kazoku	Vokabel-Nomen		
beschäftigt	忙[いそが]しい	isogashii	Vokabel-Adj-i		
Ingenieur(in)	エンジニア	enjinia	Vokabel-Katakana		
vier	四[よん]	yon	Vokabel-Num		
… Jahre alt	歳[さい]	sai	Vokabel-Sonst		
(meine) ältere Schwester	姉[あね]	ane	Vokabel-Nomen		
Angestellte(r)	会[かい]社[しゃ]員[いん]	kaishain	Vokabel-Nomen		
(meine) jüngere Schwester	妹[いもうと]	imouto	Vokabel-Nomen		
fünf	五[ご]	go	Vokabel-Num		
(mein) älterer Bruder	兄[あに]	ani	Vokabel-Nomen		
(mein) jüngerer Bruder	弟[おとうと]	otouto	Vokabel-Nomen		
Krankenschwester	看[かん]護[ご]師[し]	kangoshi	Vokabel-Nomen		
laut, lärmend, nervig, lästig	うるさい	urusai	Vokabel-Adj-i		
Buch, Bücher	本[ほん]	hon	Vokabel-Nomen		
lesen /höflich/	読[よ]みます	yomimasu	Vokabel-Verb-5st	読[よ]む	yomu
berühmt	有[ゆう]名[めい]	yuumei	Vokabel-Adj-na		
Universitäts-Student	大[だい]学[がく]生[せい]	daigakusei	Vokabel-Nomen		
(meine) Ehefrau	妻[つま]	tsuma	Vokabel-Nomen		
(meine) Tochter; junges Mädchen	娘[むすめ]	musume	Vokabel-Nomen		
sieben	七[なな]	nana	Vokabel-Num		
modisch, schick, elegant	お 洒落[しゃれ]	oshare	Vokabel-Adj-na		
(mein) Ehemann	夫[おっと]	otto	Vokabel-Nomen		
(mein) Sohn	息子[むすこ]	musuko	Vokabel-Nomen		
intelligent, schlau, clever	頭[あたま]がいい	atamagaii	Vokabel-Adj-i		
Darf ich mich vorstellen? /wörtl. Ich sehe Sie zum ersten Mal./	初[はじ]めまして	hajimemashite	Vokabel-Expr		
guten Morgen	おはよう ございます	ohayou gozaimasu	Vokabel-Expr		
Name /höflich/	お 名[な]前[まえ]	onamae	Vokabel-Nomen		
Ihr Name?, wie heißen Sie?, wie ist Ihr Name? /Kurzform/	お 名[な]前[まえ] は	onamae wa	Vokabel-Expr		
Ich bin Ken.	私[わたし] は けん です。	Watashi wa Ken desu.	Beispielsatz		
Hallo, wie heißt du?	こんにちは、 お 名[な]前[まえ] は？	Konnichi wa, onamae wa?	Beispielsatz		
Bist du aus Tokyo?	東[とう]京[きょう] 出[しゅっ]身[しん] です か。	Toukyou shusshin desu ka.	Beispielsatz		
Hana ist aus Tokio.	花[はな] さん は 東[とう]京[きょう] 出[しゅっ]身[しん] です。	Hana-san wa Toukyou shusshin desu.	Beispielsatz		
Ich bin auch aus Kanada.	私[わたし] も カナダ 出[しゅっ]身[しん] です。	Watashi mo Kanada shusshin desu.	Beispielsatz		
Nein, ich bin nicht aus New York.	いいえ、 ニューヨーク 出[しゅっ]身[しん] じゃないです。	Iie, Nyuuyooku shusshin janai desu.	Beispielsatz		
Ich lebe in Japan.	日本[にほん] に 住[す]んで います。	Nihon ni sundeimasu.	Beispielsatz		
Lebst du in Tokio?	東[とう]京[きょう] に 住[す]んで います か。	Toukyou ni sundeimasu ka.	Beispielsatz		
Ich bin auch aus Kyoto.	私[わたし] も 京[きょう]都[と] 出[しゅっ]身[しん] です。	Watashi mo Kyouto shusshin desu.	Beispielsatz		
Ich bin auch aus Osaka.	私[わたし] も 大[おお]阪[さか] 出[しゅっ]身[しん] です。	Watashi mo Oosaka shusshin desu.	Beispielsatz		
Ich bin nicht aus Osaka.	大[おお]阪[さか] 出[しゅっ]身[しん] じゃないです。	Oosaka shusshin janai desu.	Beispielsatz		
Tokio ist eine große Stadt.	東[とう]京[きょう] は 大[おお]きい 都[と]市[し] です。	Toukyou wa ookii toshi desu.	Beispielsatz		
Was ist mit Japan?, Wie ist Japan?	日本[にほん] は どう です か。	Nihon wa dou desu ka.	Beispielsatz		
Osaka ist lebhaft.	大[おお]阪[さか] は 賑[にぎ]やか です。	Oosaka wa nigiyaka desu.	Beispielsatz		
Lebst du in Toronto?	トロント に 住[す]んで います か。	Toronto ni sundeimasu ka.	Beispielsatz		
Woher sind Sie?	出[しゅっ]身[しん] は どこ です か。	Shusshin wa doko desu ka.	Beispielsatz		
New York ist nicht ruhig.	ニューヨーク は 静[しず]か じゃないです。	Nyuuyooku wa shizuka janai desu.	Beispielsatz		
Ist es sauber?	綺[き]麗[れい] です か。	Kirei desu ka.	Beispielsatz		
Es ist sehr ruhig.	とても 静[しず]か です。	Totemo shizuka desu.	Beispielsatz		
Es ist sehr lebhaft hier.	ここ は とても 賑[にぎ]やか です。	Koko wa totemo nigiyaka desu.	Beispielsatz		
Jene Stadt ist sehr sauber.	その 町[まち] は とても 綺[き]麗[れい] です。	Sono machi wa totemo kirei desu.	Beispielsatz		
Hana lebt in einer kleinen Stadt.	花[はな] さん は 小[ちい]さい 町[まち] に 住[す]んで います。	Hana-san wa chiisai machi ni sundeimasu.	Beispielsatz		
Jene Stadt ist auch sehr klein.	その 町[まち] も とても 小[ちい]さい です。	Sono machi mo totemo chiisai desu.	Beispielsatz		
Naomi lebt in jener Stadt.	直美[なおみ] さん は その 町[まち] に 住[す]んで います。	Naomi-san wa sono machi ni sundeimasu.	Beispielsatz		
Hana, ist Kyoto ruhig?	花[はな] さん、 京[きょう]都[と] は 静[しず]か です か。	Hana-san, Kyouto wa shizuka desu ka.	Beispielsatz		
Meine Familie ist klein.	私[わたし]の 家[か]族[ぞく] は 小[ちい]さい です。	Watashi no kazoku wa chiisai desu.	Beispielsatz		
Frau Nakayama ist auch Ingenieurin.	中[なか]山[やま] さん も エンジニア です。	Nakayama-san mo enjinia desu.	Beispielsatz		
Er/Sie ist vier Jahre alt.	四[よん] 歳[さい] です。	Yon sai desu.	Beispielsatz		
Meine ältere Schwester ist auch Ärztin.	姉[あね] も 医[い]者[しゃ] です。	Ane mo isha desu.	Beispielsatz		
Wo ist meine jüngere Schwester?	妹[いもうと] は どこ です か。	Imouto wa doko desu ka.	Beispielsatz		
Ist jene Person ein Firmenangestellter?	その 人[ひと] は 会[かい]社[しゃ]員[いん] です か。	Sono hito wa kaishain desu ka.	Beispielsatz		
Mein älterer Bruder ist Lehrer.	兄[あに] は 先[せん]生[せい] です。	Ani wa sensei desu.	Beispielsatz		
Mein jüngerer Bruder ist fünf Jahre alt.	弟[おとうと] は 五[ご] 歳[さい] です。	Otouto wa go sai desu.	Beispielsatz		
Mein jüngerer Bruder ist laut.	弟[おとうと] は うるさい です。	Otouto wa urusai desu.	Beispielsatz		
Meine jüngere Schwester ist auch laut.	妹[いもうと] も うるさい です。	Imouto mo urusai desu.	Beispielsatz		
Meine Mutter ist Rechtsanwalt.	母[はは]は 弁[べん]護[ご]士[し]です。	Haha wa bengoshi desu.	Beispielsatz		
Ist er/sie sechs Jahre alt?	六[ろく] 歳[さい] です か。	Roku sai desu ka.	Beispielsatz		
Meine ältere Schwester ist berühmt.	姉[あね] は 有[ゆう]名[めい] です。	Ane wa yuumei desu.	Beispielsatz		
Meine Ehefrau ist Ingenieurin.	妻[つま] は エンジニア です。	Tsuma wa enjinia desu.	Beispielsatz		
Meine Tochter ist süß.	娘[むすめ] は かわいい です。	Musume wa kawaii desu.	Beispielsatz		
Nein, meine Tochter ist sieben Jahre alt.	いいえ、 娘[むすめ]は 七[なな]歳[さい] です。	Iie, musume wa nana sai desu.	Beispielsatz		
Meine Frau ist sehr modisch.	妻[つま] は とても お 洒落[しゃれ] です。	Tsuma wa totemo oshare desu.	Beispielsatz		
Mein Ehemann ist Rechtsanwalt.	夫[おっと]は 弁[べん]護[ご]士[し] です。	Otto wa bengoshi desu.	Beispielsatz		
Mein jüngerer Bruder ist schlau.	弟[おとうと] は 頭[あたま]がいい です。	Otouto wa atamagaii desu.	Beispielsatz		
Naomis Familie ist auch klein.	直美[なおみ] さん の 家[か]族[ぞく] も 小[ちい]さい です。	Naomi-san no kazoku mo chiisai desu.	Beispielsatz		
Fernsehgerät; TV	テレビ	terebi	Vokabel-Katakana		
/Akk.-Objekt-Partikel/	を	o	Vokabel-Part		
oft; gut /Adverb/	よく	yoku	Vokabel-Adverb		
Film	映[えい]画[が]	eiga	Vokabel-Nomen		
Fußball	サッカー	sakkaa	Vokabel-Katakana		
Basketball	バスケットボール	basukettobooru	Vokabel-Katakana		
machen, spielen /höflich/	します	shimasu	Vokabel-Verb-irr	する	suru
manchmal	時々[ときどき]	tokidoki	Vokabel-Adverb		
Musik	音[おん]楽[がく]	ongaku	Vokabel-Nomen		
(zu)hören; fragen /höflich/	聞[き]きます	kikimasu	Vokabel-Verb-5st	聞[き]く	kiku
Rock (-Musik)	ロック	rokku	Vokabel-Katakana		
Jazz (-Musik)	ジャズ	jazu	Vokabel-Katakana		
Nachricht(en), News	ニュース	nyuusu	Vokabel-Katakana		
Magazin, Zeitschrift	雑[ざっ]誌[し]	zasshi	Vokabel-Nomen		
Anime (jap. Zeichentrickfilme)	アニメ	anime	Vokabel-Katakana		
Manga (jap. Comic Strips)	漫[まん]画[が]	manga	Vokabel-Nomen		
Baseball (Schlagball)	野[や]球[きゅう]	yakyuu	Vokabel-Nomen		
J-Pop (japanische Popmusik)	Jポップ	J-poppu	Vokabel-Katakana		
Brot, Toast, Brötchen	パン	pan	Vokabel-Katakana		
Sandwich	サンドイッチ	sandoitchi	Vokabel-Katakana		
essen /höflich/	食[た]べます	tabemasu	Vokabel-Verb-1st	食[た]べる	taberu
jeden Tag	毎[まい]日[にち]	mainichi	Vokabel-Adverb		
Kaffee	コーヒー	koohii	Vokabel-Katakana		
Saft	ジュース	juusu	Vokabel-Katakana		
trinken /höflich/	飲[の]みます	nomimasu	Vokabel-Verb-5st	飲[の]む	nomu
jeden Morgen	毎[まい]朝[あさ]	maiasa	Vokabel-Adverb		
sieben Uhr	七[しち]時[じ]	shichi ji	Vokabel-Expr		
Frühstück	朝[あさ]ご 飯[はん]	asagohan	Vokabel-Nomen		
zehn	十[じゅう]	juu	Vokabel-Num		
zwölf	十[じゅう]二[に]	juu ni	Vokabel-Num		
